Results: 20191114_JHL_1qtf
Query: s001A
Select neighbours (check boxes) for viewing as multiple structural alignment or 3D superimposition. The list of neighbours is sorted by Z-score. Similarities with a Z-score lower than 2 are spurious. Each neighbour has links to pairwise structural alignment with the query structure, and to the PDB format coordinate file where the neighbour is superimposed onto the query structure.

  Expand gaps    
Summary
    No:  Chain   Z    rmsd lali nres  %id PDB  Description
   1:  1qtf-A 47.2  0.1  246   246  100 PDB  MOLECULE: EXFOLIATIVE TOXIN B;                                       
   2:  5c2z-A 41.3  0.9  245   248   62 PDB  MOLECULE: EXFOLIATIVE TOXIN D2;                                      
   3:  6e0u-A 40.1  0.8  239   241   68 PDB  MOLECULE: SERINE PROTEASE;                                           
   4:  1agj-A 33.5  1.6  225   242   42 PDB  MOLECULE: EPIDERMOLYTIC TOXIN A;                                     
   5:  1qy6-A 28.0  1.8  203   216   31 PDB  MOLECULE: SERINE PROTEASE;                                           
   6:  6u1b-A 28.0  1.8  202   221   29 PDB  MOLECULE: GLUTAMYL ENDOPEPTIDASE;                                    
   7:  1p3c-A 24.6  2.2  194   215   21 PDB  MOLECULE: GLUTAMYL-ENDOPEPTIDASE;                                    
   8:  2w7u-B 23.8  2.2  187   200   28 PDB  MOLECULE: SERINE PROTEASE SPLA;                                      
   9:  4ink-A 23.7  2.2  187   203   23 PDB  MOLECULE: SERINE PROTEASE SPLD;                                      
  10:  2as9-A 23.2  2.2  188   207   27 PDB  MOLECULE: SERINE PROTEASE;                                           
  11:  5mm8-A 22.6  2.5  188   197   27 PDB  MOLECULE: SERINE PROTEASE SPLE;                                      
  12:  4k1t-C 22.5  2.2  184   203   28 PDB  MOLECULE: SERINE PROTEASE SPLB;                                      
  13:  1ekb-B 20.5  2.4  190   235   14 PDB  MOLECULE: ENTEROPEPTIDASE;                                           
  14:  3cp7-A 20.4  2.6  187   216   21 PDB  MOLECULE: ALKALINE SERINE PROTEASE AL20;                             
  15:  2oq5-A 20.2  2.5  187   232   18 PDB  MOLECULE: TRANSMEMBRANE PROTEASE, SERINE 11E;                        
  16:  1b0f-A 20.0  2.4  184   218   16 PDB  MOLECULE: PROTEIN (ELASTASE);                                        
  17:  1fuj-A 19.9  2.5  183   221   13 PDB  MOLECULE: PR3;                                                       
  18:  4dgj-A 19.9  2.5  190   235   16 PDB  MOLECULE: ENTEROPEPTIDASE CATALYTIC LIGHT CHAIN;                     
  19:  1yc0-A 19.7  2.5  191   247   18 PDB  MOLECULE: HEPATOCYTE GROWTH FACTOR ACTIVATOR;                        
  20:  1pq5-A 19.7  2.5  185   225   18 PDB  MOLECULE: TRYPSIN;                                                   
  21:  3w94-A 19.7  2.5  188   235   12 PDB  MOLECULE: ENTEROPEPTIDASE-1;                                         
  22:  5dj7-A 19.6  2.7  187   230   14 PDB  MOLECULE: TRYPSIN;                                                   
  23:  1pfx-C 19.5  2.6  186   236   16 PDB  MOLECULE: FACTOR IXA;                                                
  24:  1azz-A 19.4  2.3  183   226   16 PDB  MOLECULE: COLLAGENASE;                                               
  25:  1euf-A 19.4  2.4  181   224   15 PDB  MOLECULE: DUODENASE;                                                 
  26:  1bru-P 19.3  2.5  187   241   13 PDB  MOLECULE: ELASTASE;                                                  
  27:  1fi8-B 19.3  2.3  182   227   19 PDB  MOLECULE: NATURAL KILLER CELL PROTEASE 1;                            
  28:  5jb8-S 19.3  2.4  182   236   17 PDB  MOLECULE: COAGULATION FACTOR IX;                                     
  29:  1hyl-A 19.2  2.5  183   230   15 PDB  MOLECULE: HYPODERMA LINEATUM COLLAGENASE;                            
  30:  1fq3-A 19.2  2.3  180   227   16 PDB  MOLECULE: GRANZYME B;                                                
  31:  1ym0-A 19.2  2.6  189   238   14 PDB  MOLECULE: FIBRINOTIC ENZYME COMPONENT B;                             
  32:  4bnr-A 19.2  2.7  189   237   14 PDB  MOLECULE: HEPATOPANCREAS TRYPSIN;                                    
  33:  1op8-A 19.1  2.5  186   234   16 PDB  MOLECULE: GRANZYME A;                                                
  34:  1m9u-A 19.1  2.3  183   241   15 PDB  MOLECULE: EARTHWORM FIBRINOLYTIC ENZYME;                             
  35:  1a0j-A 19.0  2.6  182   223   15 PDB  MOLECULE: TRYPSIN;                                                   
  36:  1shy-A 18.9  2.5  186   228   12 PDB  MOLECULE: HEPATOCYTE GROWTH FACTOR;                                  
  37:  1h4w-A 18.9  2.6  183   224   16 PDB  MOLECULE: TRYPSIN IVA;                                               
  38:  1fy1-A 18.9  2.7  188   225   12 PDB  MOLECULE: HEPARIN-BINDING PROTEIN;                                   
  39:  5wi6-B 18.9  2.6  188   245   13 PDB  MOLECULE: TRYPTASE ALPHA/BETA-1;                                     
  40:  1bit-A 18.9  2.6  182   222   16 PDB  MOLECULE: TRYPSIN;                                                   
  41:  2eek-A 18.9  2.6  182   220   14 PDB  MOLECULE: TRYPSIN-1;                                                 
  42:  1npm-A 18.9  2.4  179   223   18 PDB  MOLECULE: NEUROPSIN;                                                 
  43:  1g3c-A 18.9  2.6  181   225   17 PDB  MOLECULE: BETA-TRYPSIN;                                              
  44:  1lto-A 18.9  2.6  188   243   12 PDB  MOLECULE: ALPHA TRYPTASE I;                                          
  45:  1spj-A 18.8  2.6  184   236   14 PDB  MOLECULE: KALLIKREIN 1;                                              
  46:  1eq9-A 18.8  2.5  183   222   14 PDB  MOLECULE: CHYMOTRYPSIN;                                              
  47:  2bdb-A 18.8  2.6  187   242   14 PDB  MOLECULE: ELASTASE-1;                                                
  48:  3e0n-B 18.8  2.6  190   254   12 PDB  MOLECULE: PROSTASIN;                                                 
  49:  1a5i-A 18.8  2.9  193   266   16 PDB  MOLECULE: PLASMINOGEN ACTIVATOR;                                     
  50:  1elt-A 18.8  2.5  184   236   15 PDB  MOLECULE: ELASTASE;                                                  
  51:  1trn-A 18.7  2.6  183   224   16 PDB  MOLECULE: TRYPSIN;                                                   
  52:  1cgi-E 18.7  2.6  189   245   16 PDB  MOLECULE: ALPHA-CHYMOTRYPSINOGEN;                                    
  53:  4h4f-A 18.7  2.5  186   239   16 PDB  MOLECULE: CHYMOTRYPSIN-C;                                            
  54:  3f6u-H 18.6  2.5  186   241   16 PDB  MOLECULE: VITAMIN K-DEPENDENT PROTEIN C HEAVY CHAIN;                 
  55:  1bda-A 18.5  3.2  196   266   18 PDB  MOLECULE: SINGLE CHAIN TISSUE TYPE PLASMINOGEN ACTIVATOR;            
  56:  1sgf-G 18.5  2.6  184   232   18 PDB  MOLECULE: NERVE GROWTH FACTOR;                                       
  57:  1an1-E 18.5  2.6  181   223   17 PDB  MOLECULE: TRYPSIN;                                                   
  58:  2pux-B 18.5  2.7  189   258   16 PDB  MOLECULE: THROMBIN LIGHT CHAIN;                                      
  59:  1mza-A 18.4  2.8  190   240   14 PDB  MOLECULE: PRO-GRANZYME K;                                            
  60:  4lk4-A 18.4  2.8  187   326   12 PDB  MOLECULE: VESB PROTEASE;                                             
  61:  5o32-I 18.4  2.8  191   241   13 PDB  MOLECULE: COMPLEMENT C3;                                             
  62:  4niy-D 18.4  2.3  170   195   17 PDB  MOLECULE: CATIONIC TRYPSIN;                                          
  63:  1fiw-A 18.3  2.4  183   260   15 PDB  MOLECULE: BETA-ACROSIN HEAVY CHAIN;                                  
