Chain  Z     rmsd lali nres  %id Description
3nzi-A 39.7  0.1  211   211  100 SERINE PROTEASE HTRA1
3qo6-B 31.1  1.9  204   328   36 PROTEASE DO-LIKE 1, CHLOROPLASTIC
3otp-A 30.1  1.8  193   381   44 PROTEASE DO
3stj-A 30.0  1.5  192   300   40 PROTEASE DEGQ
3pv3-A 29.4  2.3  191   392   41 DEGQ
2z9i-A 29.4  1.6  185   284   42 PROBABLE SERINE PROTEASE PEPD
4ynn-A 29.2  1.5  189   400   40 PROTEASE DO
3nwu-B 28.5  1.5  182   183  100 SERINE PROTEASE HTRA1
1soz-C 28.1  1.8  200   257   37 PROTEASE DEGS
4ri0-A 26.9  1.7  185   306   79 SERINE PROTEASE HTRA3
5jd8-A 26.9  1.7  185   272   40 PERIPLASMIC SERINE PEPTIDASE DEGS
1l1j-A 26.9  2.2  195   226   43 HEAT SHOCK PROTEASE HTRA
5zvj-A 26.4  2.2  187   299   39 SERINE PROTEASE
4ic5-A 26.3  2.3  190   210   37 PROTEASE DO-LIKE 5, CHLOROPLASTIC
5ilb-A 26.2  2.7  183   465   33 PROTEASE DO-LIKE 2, CHLOROPLASTIC,PROTEASE DO-LIK          
5y28-C 26.0  2.4  182   277   39 PERIPLASMIC SERINE ENDOPROTEASE DEGP-LIKE
5t69-A 25.8  2.1  174   284   48 PUTATIVE SERINE PROTEASE HHOA
3gdv-A 25.8  2.0  202   296   36 DEGS PROTEASE
3lgu-A 25.5  2.4  187   191   36 PROTEASE DEGS
1te0-A 25.2  2.9  202   318   35 PROTEASE DEGS
3k6y-A 25.0  2.1  184   227   27 POSSIBLE MEMBRANE-ASSOCIATED SERINE PROTEASE
4fln-B 24.9  2.9  185   464   34 PROTEASE DO-LIKE 2, CHLOROPLASTIC
5fht-A 24.8  2.2  192   300   63 SERINE PROTEASE HTRA2, MITOCHONDRIAL
5il9-A 24.6  2.5  182   465   28 PROTEASE DO-LIKE 9
3sti-A 24.4  2.2  174   184   41 PROTEASE DEGQ
4ic6-A 23.4  2.9  193   340   35 PROTEASE DO-LIKE 8, CHLOROPLASTIC
5hma-A 23.3  2.5  180   191   24 TRYPSIN-LIKE SERINE PROTEASE
1ky9-B 22.4  2.5  187   396   42 PROTEASE DO
4ink-A 20.8  1.8  161   203   25 SERINE PROTEASE SPLD
6u1b-A 20.8  2.2  173   221   21 GLUTAMYL ENDOPEPTIDASE
2w7u-B 20.5  2.0  162   200   23 SERINE PROTEASE SPLA
1qy6-A 20.1  2.3  173   216   21 SERINE PROTEASE
4k1t-C 19.4  2.2  162   203   27 SERINE PROTEASE SPLB
1p3c-A 19.3  2.2  167   215   17 GLUTAMYL-ENDOPEPTIDASE
2w5e-A 19.0  2.5  159   162   23 PUTATIVE SERINE PROTEASE
5mm8-A 19.0  2.1  159   197   30 SERINE PROTEASE SPLE
2as9-A 18.8  2.3  161   207   24 SERINE PROTEASE
1agj-A 18.8  2.1  166   242   23 EPIDERMOLYTIC TOXIN A
1hyl-A 18.6  2.8  179   230   18 HYPODERMA LINEATUM COLLAGENASE
1azz-A 18.5  2.6  176   226   19 COLLAGENASE
2rdl-A 18.5  2.6  170   226   20 CHYMASE 2
1au8-A 18.5  2.4  173   225   18 CATHEPSIN G
1pq5-A 18.4  2.7  176   225   16 TRYPSIN
3tk9-A 18.4  2.4  170   226   17 GRANZYME H
1klt-A 18.4  2.7  173   226   17 CHYMASE
3rp2-A 18.3  2.5  168   224   18 RAT MAST CELL PROTEASE II
3fzz-A 18.3  2.8  175   227   18 GRANZYME C
1euf-A 18.2  2.7  174   224   18 DUODENASE
1bru-P 18.2  2.7  178   241   17 ELASTASE
2bdb-A 18.2  2.7  178   242   14 ELASTASE-1
1arc-A 18.2  2.9  183   264   15 ACHROMOBACTER PROTEASE I
1fq3-A 18.1  2.6  174   227   18 GRANZYME B
1fi8-B 18.1  2.8  173   227   18 NATURAL KILLER CELL PROTEASE 1
4nsy-B 18.1  2.9  184   266   13 LYSYL ENDOPEPTIDASE
2oq5-A 18.1  2.6  173   232   17 TRANSMEMBRANE PROTEASE, SERINE 11E
1bda-A 18.0  2.9  188   266   18 SINGLE CHAIN TISSUE TYPE PLASMINOGEN ACTIVATOR
1elt-A 17.9  2.7  176   236   14 ELASTASE
1fxy-A 17.8  2.8  173   229   17 COAGULATION FACTOR XA-TRYPSIN CHIMERA
3w94-A 17.8  2.8  174   235   17 ENTEROPEPTIDASE-1
4h4f-A 17.8  2.7  177   239   18 CHYMOTRYPSIN-C
1ekb-B 17.7  2.8  175   235   15 ENTEROPEPTIDASE
2j92-A 17.6  3.0  175   201   14 PICORNAIN 3C
1ym0-A 17.6  3.0  181   238   17 FIBRINOTIC ENZYME COMPONENT B
1eq9-A 17.6  2.6  170   222   20 CHYMOTRYPSIN
6e0u-A 17.6  3.0  165   241   18 SERINE PROTEASE
5dj7-A 17.6  2.9  172   230   16 TRYPSIN
4q7x-A 17.6  2.7  171   235   16 SERINE PROTEASE 57
4dgj-A 17.6  2.8  175   235   15 ENTEROPEPTIDASE CATALYTIC LIGHT CHAIN
5lhq-A 17.6  2.7  174   248   17 UROKINASE-TYPE PLASMINOGEN ACTIVATOR
3cp7-A 17.5  2.7  169   216   14 ALKALINE SERINE PROTEASE AL20
1fiw-A 17.5  2.6  176   260   18 BETA-ACROSIN HEAVY CHAIN
3h7o-A 17.5  2.9  176   228   13 GROUP 3 ALLERGEN SMIPP-S YV6023A04
1a5i-A 17.5  3.0  188   266   19 PLASMINOGEN ACTIVATOR
1m9u-A 17.4  2.7  175   241   17 EARTHWORM FIBRINOLYTIC ENZYME
3wy8-A 17.4  2.9  172   219   14 SERINE PROTEASE
5c2z-A 17.4  2.4  163   248   19 EXFOLIATIVE TOXIN D2
2qxg-A 17.4  2.6  167   225   17 KALLIKREIN-7
2zch-P 17.4  2.7  170   237   18 PROSTATE-SPECIFIC ANTIGEN
1b0f-A 17.4  2.7  167   218   20 PROTEIN (ELASTASE)
5zfh-A 17.4  2.7  168   224   18 KALLIKREIN-7
1npm-A 17.3  2.8  170   223   18 NEUROPSIN
2pux-B 17.3  2.6  174   258   19 THROMBIN LIGHT CHAIN
5to3-B 17.3  2.6  174   368   18 PROTHROMBIN
1a0j-A 17.3  2.8  170   223   16 TRYPSIN
1z8g-A 17.3  6.1  178   366   15 SERINE PROTEASE HEPSIN
1fuj-A 17.3  2.9  169   221   20 PR3
5hm2-A 17.3  3.0  173   201   14 3C PROTEINASE
4nff-A 17.3  2.8  172   230   19 KALLIKREIN-2
5wi6-B 17.3  3.0  178   245   16 TRYPTASE ALPHA/BETA-1
5mt0-A 17.3  2.6  168   230   18 COMPLEMENT FACTOR D
2qy0-D 17.2  3.0  174   237   17 COMPLEMENT C1R SUBCOMPONENT
1sgf-G 17.2  2.9  176   232   17 NERVE GROWTH FACTOR
1spj-A 17.2  2.8  173   236   18 KALLIKREIN 1
1trn-A 17.2  2.9  170   224   17 TRYPSIN
1h4w-A 17.2  2.9  169   224   18 TRYPSIN IVA
1fiz-A 17.2  2.8  180   263   18 BETA-ACROSIN HEAVY CHAIN
4bnr-A 17.2  3.2  175   237   13 HEPATOPANCREAS TRYPSIN
1an1-E 17.2  2.7  167   223   19 TRYPSIN
1op8-A 17.1  2.4  170   234   17 GRANZYME A
2vnt-B 17.1  2.7  176   258   15 UROKINASE-TYPE PLASMINOGEN ACTIVATOR
2eek-A 17.1  3.0  173   220   14 TRYPSIN-1
3f6u-H 17.1  2.9  174   241   14 VITAMIN K-DEPENDENT PROTEIN C HEAVY CHAIN
1g3c-A 17.1  2.7  166   225   17 BETA-TRYPSIN
5fcr-A 17.1  2.6  168   230   16 COMPLEMENT FACTOR D
4cre-A 17.1  3.0  178   238   16 COAGULATION FACTOR XI
1lto-A 17.1  2.8  176   243   16 ALPHA TRYPTASE I
1ao5-A 17.0  2.7  170   236   16 GLANDULAR KALLIKREIN-13
4lk4-A 17.0  2.9  174   326   16 VESB PROTEASE
2psx-A 17.0  2.9  171   227   16 KALLIKREIN-5
